service_id,contract_id,vendor_id,service_name,service_category,service_subcategory,service_description,service_scope,deliverable_definition,sla_items,sla_target,kpi_items,kpi_target,performance_rating,usage_frequency,actual_utilization_rate,resource_count,unit_price,unit_price_type,business_criticality,replaceability,service_start_date,last_used_date,notes
S000018,C000036,V00013,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,4,日次,85.9,1.2,556386,時間,中,普通,2024-11-12,2025-11-07,
S000019,C000036,V00013,マーケティング支援 サービス,マーケティング支援,,マーケティング支援に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,5,週次,61.7,2.2,1449225,人月,中,容易,2024-11-12,2025-11-07,
S000020,C000016,V00006,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,随時,65.8,0.7,1151776,人月,低,普通,2025-12-25,2026-06-23,
S000021,C000016,V00006,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,日次,60.6,2.2,958731,人月,低,普通,2025-12-25,2026-06-23,
S000022,C000016,V00006,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,3,月次,80.2,3.0,1271104,人月,低,普通,2025-12-25,2026-06-23,
S000023,C000025,V00009,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,3,月次,78.1,2.0,1322423,時間,高,容易,2025-04-24,2026-04-19,
S000024,C000025,V00009,ITインフラ サービス,ITインフラ,,ITインフラに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,4,週次,94.9,2.2,786262,式,中,普通,2025-04-24,2026-04-19,
S000025,C000025,V00009,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,4,随時,94.9,2.1,715609,式,低,容易,2025-04-24,2026-04-19,
S000026,C000039,V00014,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,月次,76.7,2.2,920623,人月,中,困難,2025-03-09,2026-03-04,
S000027,C000012,V00006,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,3,随時,75.0,1.0,888373,時間,中,容易,2024-10-02,2025-09-27,
S000028,C000049,V00017,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,日次,81.4,2.7,1137463,人日,中,容易,2024-08-19,2025-08-14,
S000029,C000049,V00017,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,77.7,1.9,1037151,人日,高,困難,2024-08-19,2025-08-14,
S000030,C000031,V00010,コンサルティング サービス,コンサルティング,,コンサルティングに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,週次,88.0,2.7,1325778,人日,中,困難,2024-03-22,2025-03-17,
S000031,C000019,V00008,ITインフラ サービス,ITインフラ,,ITインフラに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,随時,68.1,2.9,1064099,人日,高,容易,2024-10-09,2025-10-04,
S000032,C000019,V00008,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,月次,68.9,1.4,582048,人日,中,困難,2024-10-09,2025-10-04,
S000033,C000019,V00008,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,週次,61.6,0.7,657628,時間,中,困難,2024-10-09,2025-10-04,
S000034,C000026,V00009,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,74.5,1.7,1278474,式,中,困難,2025-08-09,2026-08-04,
S000035,C000026,V00009,コンサルティング サービス,コンサルティング,,コンサルティングに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,3,月次,74.0,0.9,1087026,人月,中,普通,2025-08-09,2026-08-04,
S000036,C000026,V00009,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,4,月次,79.1,2.1,570207,人月,中,容易,2025-08-09,2026-08-04,
S000037,C000017,V00007,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,69.1,1.1,584454,人月,高,容易,2025-05-14,2025-11-10,
S000038,C000022,V00008,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,日次,72.0,0.6,713868,人日,低,容易,2024-11-13,2026-11-03,
S000039,C000011,V00005,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,4,月次,62.6,2.7,1421470,式,中,困難,2025-05-15,2025-11-11,
S000040,C000011,V00005,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,3,月次,91.0,0.7,997984,人月,中,普通,2025-05-15,2025-11-11,
S000041,C000001,V00001,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,3,月次,73.1,0.9,883219,人月,高,普通,2024-11-06,2025-11-01,
S000042,C000001,V00001,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,日次,80.1,1.6,1176656,式,中,困難,2024-11-06,2025-11-01,
S000043,C000001,V00001,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,日次,81.5,0.6,1164678,人日,中,容易,2024-11-06,2025-11-01,
S000044,C000024,V00009,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,顧客満足度、納期遵守率,満足度80%以上,5,月次,93.2,1.2,1147610,人月,高,普通,2025-11-28,2026-11-23,
S000045,C000024,V00009,その他 サービス,その他,,その他に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,顧客満足度、納期遵守率,満足度80%以上,5,随時,76.9,1.6,990332,人月,中,容易,2025-11-28,2026-11-23,
S000046,C000024,V00009,ITインフラ サービス,ITインフラ,,ITインフラに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,顧客満足度、納期遵守率,満足度80%以上,3,随時,75.3,1.8,992049,式,低,容易,2025-11-28,2026-11-23,
S000047,C000027,V00009,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,月次,71.1,2.6,708272,人月,中,困難,2024-10-14,2025-01-12,
S000048,C000006,V00003,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,日次,75.3,1.1,538065,人日,低,容易,2025-04-17,2025-10-14,
S000049,C000006,V00003,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,随時,82.0,2.0,1268492,人月,低,容易,2025-04-17,2025-10-14,
S000050,C000043,V00016,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,,,4,随時,76.9,1.5,1275280,人月,低,普通,2024-12-11,2026-12-01,
S000051,C000037,V00013,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,5,月次,78.4,2.7,1238632,人日,中,普通,2025-10-12,2026-10-07,
S000052,C000015,V00006,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,,,4,月次,76.3,0.6,1133086,時間,低,普通,2025-03-06,2025-06-04,
S000053,C000010,V00005,業務委託（IT以外） サービス,業務委託（IT以外）,,業務委託（IT以外）に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,顧客満足度、納期遵守率,満足度80%以上,5,月次,87.6,0.7,1328319,時間,中,普通,2024-06-06,2025-06-01,
S000054,C000010,V00005,ITシステム保守・運用 サービス,ITシステム保守・運用,,ITシステム保守・運用に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,,,顧客満足度、納期遵守率,満足度80%以上,3,日次,86.2,1.5,871472,時間,高,普通,2024-06-06,2025-06-01,
S000055,C000029,V00010,コンサルティング サービス,コンサルティング,,コンサルティングに関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,3,日次,62.7,0.6,1375861,式,中,困難,2024-09-28,2025-09-23,
S000056,C000029,V00010,マーケティング支援 サービス,マーケティング支援,,マーケティング支援に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,64.4,2.6,848404,式,高,容易,2024-09-28,2025-09-23,
S000057,C000029,V00010,ITシステム開発 サービス,ITシステム開発,,ITシステム開発に関する業務支援サービス,契約範囲内での業務対応,月次報告書、作業記録,対応時間: 2時間以内,月次稼働率99%以上,顧客満足度、納期遵守率,満足度80%以上,5,月次,68.4,2.0,596563,式,低,普通,2024-09-28,2025-09-23,
